acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
0.214,0.44,0.895,0.884,C,0.715,-1.795,minor,0.148,180.646,4,0.329,True
0.0507,0.605,0.732,0.023,F#,0.423,-5.839,minor,0.382,156.969,4,0.36,True
0.0289,0.638,0.947,0.0275,F,0.504,-2.554,minor,0.227,170.262,4,0.467,True
0.00042,0.549,0.988,0.631,C,0.954,-5.257,major,0.559,181.917,4,0.0386,True
0.00154,0.372,0.973,0.000956,E,0.36,-5.125,minor,0.166,156.142,4,0.192,True
0.0918,0.48,0.997,0.238,F,0.68,-3.73,major,0.0773,182.01,4,0.459,True
0.0526,0.393,0.967,0.000074,E,0.354,-1.555,minor,0.365,154.972,4,0.232,True
0.000036,0.472,0.912,0.92,F#,0.0948,-7.913,major,0.0456,162.993,4,0.488,True
0.133,0.619,0.985,0.00187,C#,0.353,-1.429,major,0.209,97.489,4,0.163,True
0.000243,0.447,0.963,0.972,C#,0.385,-6.412,minor,0.104,160.041,4,0.0288,True
0.00188,0.516,0.996,0.812,C#,0.236,-2.575,minor,0.138,159.84,4,0.478,True
0.00496,0.659,0.895,0.0459,A#,0.109,-4.493,minor,0.0631,178.816,4,0.0375,True
0.024,0.498,0.878,0.682,B,0.345,-4.802,minor,0.0537,94.454,4,0.0377,True
0.00387,0.695,0.676,0.901,C,0.117,-7.881,major,0.0565,104.968,4,0.0953,True
0.0446,0.506,0.948,0.0862,A#,0.392,-8.397,minor,0.0471,173.141,4,0.63,True
0.347,0.725,0.892,0.0154,G,0.177,-13.915,major,0.286,170.06,4,0.186,True
0.144,0.68,0.964,0.000129,A#,0.13,-0.445,minor,0.179,151.95,4,0.108,True
0.0107,0.752,0.798,0.81,F#,0.0516,-8.954,major,0.0729,174.081,4,0.0908,True
0.0623,0.674,0.961,0.895,C,0.0844,-10.188,minor,0.0624,150.045,4,0.124,True
0.012,0.608,0.997,0.119,F#,0.315,-1.179,major,0.1,110.008,4,0.491,True
0.000597,0.55,0.865,0.241,G,0.869,-8.509,minor,0.0937,162.985,4,0.286,True
0.00563,0.688,0.985,0.725,G,0.132,-4.049,major,0.096,142.001,4,0.492,True
0.0396,0.602,0.948,0.000001,A,0.186,-3.372,minor,0.0502,149.933,4,0.812,True
0.0922,0.365,0.963,0.00012,A#,0.107,-3.511,minor,0.402,155.052,4,0.132,True
0.0142,0.671,0.882,0.000237,D,0.534,-7.234,major,0.256,170.072,4,0.362,True
0.147,0.385,0.576,0.94,E,0.161,-8.443,minor,0.0286,145.068,4,0.0374,True
0.0755,0.447,0.773,0.0273,G,0.621,-6.374,major,0.0456,150.012,4,0.47,True
0.177,0.764,0.981,0.000204,G#,0.102,-2.548,major,0.131,105.002,4,0.105,True
0.00195,0.6,0.987,0.00391,A#,0.283,1.563,minor,0.12,100.024,4,0.247,True
0.0138,0.726,0.984,0.00431,B,0.368,1.573,minor,0.0826,99.979,4,0.429,True
0.0548,0.812,0.977,0.000003,A,0.348,1.634,minor,0.0659,109.954,4,0.334,True
0.0139,0.666,0.958,0.000129,A,0.105,-2.866,major,0.0807,100.036,4,0.0631,True
0.251,0.862,0.967,0.0202,E,0.308,-0.438,minor,0.318,100.01,4,0.116,True
0.0486,0.671,0.941,0.0008,D,0.432,-3.337,major,0.0519,99.965,4,0.255,True
0.0044,0.515,0.94,0.000011,A,0.23,-2.452,minor,0.0478,150.051,4,0.284,True
0.033,0.535,0.877,0.000167,D#,0.144,-2.181,minor,0.0465,150.022,4,0.115,True
0.0101,0.731,0.872,0.341,G,0.0557,-4.834,major,0.075,148.019,4,0.0648,True
0.0303,0.664,0.957,0.705,D#,0.0916,-6.124,major,0.121,148.013,4,0.11,True
0.00759,0.581,0.954,0.116,B,0.0612,-8.256,major,0.147,150.031,4,0.0604,True
0.118,0.649,0.852,0.461,D,0.249,-4.684,major,0.102,141.971,4,0.0678,True
0.0142,0.579,0.931,0.0244,G,0.0594,-4.439,major,0.229,146.089,4,0.334,True
0.0326,0.58,0.942,0.0323,A,0.221,-9.915,major,0.157,149.963,4,0.113,True
0.0706,0.639,0.961,0.208,A#,0.0567,-3.849,major,0.196,150.015,4,0.482,True
0.00128,0.396,0.791,0.578,F,0.0532,-4.819,major,0.0844,150.011,4,0.0438,True
0.000489,0.696,0.885,0.377,C#,0.0303,-7.622,major,0.156,150.013,4,0.238,True
0.117,0.429,0.935,0.0117,A,0.169,-4.41,major,0.197,149.856,4,0.188,True
0.0016,0.703,0.581,0.769,C,0.0692,-6.728,minor,0.0609,145.049,4,0.145,True
0.475,0.266,0.866,0.933,A#,0.116,-6.559,minor,0.0729,151.777,4,0.0368,True
0.022,0.653,0.82,0.551,B,0.24,-7.26,minor,0.0857,149.959,4,0.429,True
0.000549,0.666,0.853,0.452,G,0.0927,-6.484,major,0.0835,145.01,4,0.328,True
0.193,0.372,0.988,0.00291,C#,0.0731,-0.897,major,0.411,94.983,4,0.314,True
0.00577,0.422,0.979,0,D,0.107,-2.085,major,0.194,180.09,3,0.414,True
0.146,0.414,0.943,0.000002,A#,0.355,-2.503,minor,0.138,179.828,4,0.205,True
0.000137,0.587,0.994,0.0263,A,0.143,-2.146,major,0.171,161.993,4,0.227,True
0.2,0.379,0.882,0.0417,C#,0.0893,-3.74,major,0.0661,175.002,4,0.142,True
0.00564,0.385,0.99,0.11,A,0.113,-1.179,major,0.331,179.985,4,0.0744,True
0.0271,0.419,0.984,0.248,C#,0.689,-2.134,major,0.229,174.012,4,0.0648,True
0.00144,0.511,0.966,0.725,G#,0.0599,-3.772,minor,0.0663,172.988,4,0.316,True
0.00155,0.531,0.951,0.485,G,0.201,-2.91,major,0.265,173.108,4,0.197,True
0.00257,0.64,0.96,0.131,B,0.226,-2.082,major,0.123,100.05,4,0.232,True
0.0617,0.63,0.994,0.892,G#,0.105,-1.711,major,0.474,167.989,4,0.144,True
0.0441,0.499,0.943,0.000029,A,0.372,-1.999,major,0.326,180.02,4,0.45,True
0.135,0.406,0.973,0.000002,C#,0.338,-2.516,major,0.327,179.928,4,0.159,True
0.00921,0.464,0.989,0.000079,D,0.0962,-0.641,major,0.325,180.102,4,0.316,True
0.357,0.514,0.998,0.00145,G,0.331,-1.643,major,0.15,173.968,4,0.0369,True
0.026,0.457,0.947,0.0627,G,0.0909,-3.152,major,0.192,174.064,4,0.0656,True
0.104,0.442,0.932,0.000882,B,0.115,-0.611,minor,0.424,179.907,4,0.099,True
0.0177,0.311,0.969,0.599,B,0.115,-1.737,minor,0.153,185.131,4,0.238,True
0.0391,0.48,0.944,0.368,F#,0.0989,-5.244,minor,0.136,170.013,4,0.279,True
0.19,0.536,0.972,0.0391,C,0.241,-3.573,major,0.233,159.956,4,0.128,True
0.00013,0.454,0.991,0.819,B,0.433,-0.785,minor,0.0816,91.526,4,0.102,True
0.127,0.557,0.93,0.000002,D,0.0764,-2.518,major,0.313,180.075,3,0.042,True
0.00968,0.273,0.972,0.132,A,0.435,-3.713,minor,0.385,177.314,4,0.0785,True
0.261,0.352,0.769,0.0784,G,0.0985,-6.29,major,0.0991,174.622,4,0.0779,True
0.034,0.438,0.996,0.000098,G,0.445,-0.418,major,0.218,184.901,3,0.117,True
0.183,0.534,0.97,0.000012,G,0.119,-7.018,major,0.118,125.055,4,0.068,True
0.000074,0.553,0.922,0.00429,G,0.0304,-3.332,major,0.106,124.958,4,0.0877,True
0.0191,0.74,0.991,0.00032,C#,0.419,-3.974,major,0.168,109.967,4,0.19,True
0.0456,0.435,0.977,0.00563,G#,0.342,-1.661,minor,0.165,154.858,4,0.164,True
0.0238,0.283,0.933,0.195,F,0.206,-3.481,major,0.184,155.069,3,0.0838,True
0.0367,0.537,0.957,0.235,C,0.123,-2.541,major,0.114,160.051,4,0.421,True
0.014,0.588,0.69,0.2,E,0.0729,-8.72,minor,0.0396,163.778,4,0.436,True
0.00707,0.64,0.895,0.274,E,0.231,-3.443,minor,0.0712,130.038,4,0.0546,True
0.271,0.672,0.687,0.78,B,0.0763,-13.308,major,0.13,129.983,4,0.192,True
0.0497,0.539,0.903,0.849,C#,0.119,-12.594,major,0.0472,153.039,4,0.0373,True
